 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,266,0,0,0,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,246,142,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,258,142,121,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,268,109,107,109,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,244,119,86,100,102,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,245,100,86,66,105,102,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,247,77,82,72,57,99,85,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,268,79,62,60,66,35,83,88,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,237,48,65,54,71,65,39,94,76,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,264,36,55,59,77,86,37,36,68,69,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,260,38,45,42,62,81,113,44,21,48,55,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,248,35,26,46,60,78,77,104,48,13,42,45,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,264,30,39,26,44,63,73,57,102,42,10,29,30,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,255,24,31,42,43,60,52,86,58,90,42,14,19,19,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0
15,238,43,24,24,56,44,56,51,100,46,94,44,11,11,8,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0
16,252,24,36,25,33,71,51,41,51,121,28,87,42,8,3,5,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0
17,255,21,21,31,36,35,71,56,41,69,113,18,77,48,4,0,3,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0
18,245,9,15,21,40,40,38,76,48,45,82,120,14,68,44,1,0,2,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0
19,263,16,6,16,26,49,51,29,95,46,39,88,111,3,47,37,1,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0
20,253,16,15,13,24,26,64,47,20,104,59,39,96,101,0,40,24,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0
21,255,12,18,14,17,39,27,65,50,19,105,76,40,96,115,0,25,9,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
22,261,13,12,10,14,18,57,22,59,48,11,103,94,23,100,120,0,24,4,0,0,0,0,0,0,0,0,31,0,0,0,0,0
23,267,13,14,14,14,15,15,71,20,55,39,14,88,126,17,90,114,0,24,4,0,0,0,0,0,0,0,0,10,0,0,0,0
24,266,7,15,11,19,17,17,10,78,25,41,43,17,70,158,5,92,105,0,21,0,0,0,0,0,0,0,0,0,7,0,0,0
25,261,11,6,15,12,20,17,20,6,80,26,29,34,15,40,209,6,80,114,0,20,0,0,0,0,0,0,0,0,0,3,0,0
26,261,10,8,6,20,15,11,19,25,10,60,25,16,23,8,28,271,5,83,103,0,15,0,0,0,0,0,0,0,0,0,2,0
27,247,9,15,8,9,32,21,7,19,27,5,41,19,11,22,12,19,289,0,85,111,0,14,0,0,0,0,0,0,0,0,0,2
28,262,9,11,18,12,16,41,18,3,24,31,5,30,13,6,17,16,14,321,0,49,97,0,11,0,0,0,0,0,0,0,0,0
29,262,5,10,12,26,15,19,44,14,5,25,32,1,20,13,8,12,23,12,364,0,27,69,0,6,0,0,0,0,0,0,0,0
30,263,6,5,13,15,39,25,26,50,4,9,18,35,0,9,11,7,12,16,14,377,0,13,51,0,6,0,0,0,0,0,0,0
31,236,0,8,7,24,23,53,23,25,54,2,8,27,40,0,5,8,8,12,17,13,390,0,2,32,0,7,0,0,0,0,0,0
32,237,4,0,8,9,30,37,64,25,30,63,2,5,25,42,0,0,12,7,8,9,7,353,0,0,43,0,4,0,0,0,0,0
33,261,8,2,0,8,11,39,49,67,18,26,72,0,3,21,45,0,0,13,6,7,9,6,290,0,0,62,0,1,0,0,0,0
34,271,3,12,4,0,14,10,53,63,83,13,29,86,0,2,14,46,0,0,9,7,0,7,4,212,0,0,82,0,0,0,0,0
