Generación 0  
	0101001111111100100000101010100010001111 -> 40
	0101111111111111001000010111100010011101 -> 40
	0001111110001111011100101001111110001001 -> 40
	0110111111111100110000000110010001100100 -> 40
	0000110001011011010101100000010011001111 -> 40
	1010010000001001001111110010010000000000 -> 40
	1010000001001100000001000001010111000110 -> 40
	1000010011110100011010001111011010000000 -> 40
	1101001000011111001111110111001001011101 -> 40
	0011000010011111000101000100100101011010 -> 40
	1111011000010100001100000010110010010100 -> 40
	0100000101001111111101100010111010100000 -> 40
	0100111110101101011000010001010011110110 -> 40
	0010111101000011000111100000001011111010 -> 40
	0000001011000100111111100001010100111111 -> 40
	1111111110100101000110101011000000011111 -> 40
	1110100001101000111110101000001000010100 -> 40
	0001000010101111011011110111110100001100 -> 40
	0010000111111010010001110000001010100001 -> 40
	0010000100001111000110011101111111110011 -> 40
	1111010010001111001110000001001110010100 -> 40
	0001100011110111110111110110111100000010 -> 40
	1001111100101000100101000011000000010001 -> 40
	0001100000001111000000100011101010011101 -> 40
	1111100100100101110011111001010011101111 -> 40
	1001010010011010111110101111011100000010 -> 40
	1000110101011010111110000000001111111111 -> 40
	1111000000010001110110011000100000110110 -> 40
	1001101011110000010000111111100000001011 -> 40
	1111011000000011010111110111011100011111 -> 40
	1011111111110100011111110001011000000010 -> 40
	0010111110101101111110101111000010000000 -> 40
Generación 1  
	1000010011110100011010001111011010000000 -> 40
	0010111101000011000111100000001011111010 -> 40
	1111111110100101000110101011000000011111 -> 40
	0010000100001111000110011101111111110011 -> 40
	1001101011110000010000111111100000001011 -> 40
	1011111111110100011111110001011000000010 -> 40
	0010111110101101111110101111000010000000 -> 40
	1111011000011100101010101111111100000000 -> 40
	0100001101000111111111011111000011111111 -> 40
	1000110100000100110001001000000000011111 -> 40
	0111001011111111101100100100000111001111 -> 40
	1101100001010000001010101111000100101111 -> 40
	1111010110011111001111111010011011010000 -> 40
	0000010000000000000100100101111101100001 -> 40
	0010000101110100111100000100111100111111 -> 40
	1111001001000001000000010001111111001001 -> 40
	1000010011110100011010001111000000000000 -> 40
	1111001000001010011100001100000010011001 -> 40
	1000010011100100011010001111011010000000 -> 40
	0010111110101101111110101111000010000000 -> 40
	0000010000000000000111111001001001100001 -> 40
	0010000100001111000100010001111111110011 -> 40
	1111111110100101000110011111000000011111 -> 40
	1000111111110111101000100110000010011010 -> 40
Generación 2  
	0010111110101101111110101111000010000000 -> 40
	0100001101000111111111011111000011111111 -> 40
	0010000101110100111100000100111100111111 -> 40
	1000010011110100011010001111000000000000 -> 40
	0010111110101101111110101111000010000000 -> 40
	0000010000000000000111111001001001100001 -> 40
	1000110101011010111110000000001111111111 -> 40
	0100001101000111111111011111000011111111 -> 40
	1111001001000001000000010001111111001101 -> 40
	0010111110101101111110101111000010000000 -> 40
	1111001001000001000000010001111100010001 -> 40
	0001111110001111011100101001111110001001 -> 40
	0010000101110100111100001110111100111111 -> 40
	0010000101110100111100000100111100100111 -> 40
Generación 3  
	0010000101110100111100000100111100111111 -> 40
	1000010011110100011010001111000000000000 -> 40
	0010111110101101111110101111000010000000 -> 40
	1010010000001001001111110010010000000000 -> 40
	0001111110001111011100101001111110001001 -> 40
	1111111101000111111110101011000000011111 -> 40
	1000010011110100000000001111011010000000 -> 40
	1000010011110100011010001111011010000000 -> 40
	1101100001010000001010101111000100101111 -> 40
	0010000100000100100100010001111111110011 -> 40
	1000010011100100011010001111001000010000 -> 40
	0100100010010010010001011011000111111111 -> 40
	0001101110101101111110101111000010000000 -> 40
Generación 4  
	0010000101110100111100000100111100111111 -> 40
	1000010011110100011010001111000000000000 -> 40
	0010111110101101111110101111000010000000 -> 40
	0100001101000111111111011111000011111111 -> 40
	0010111110101101111110101111000010000000 -> 40
	0010000100000100100100010001111111110011 -> 40
Generación 5  
	0010111110111001111110101111000010000000 -> 40
	0010111110111001111110101111000010000000 -> 40
	0010111110101101111110101111000011110010 -> 40
	0010111110101101111111110001011000000000 -> 40
	0100001101000111111111011111000011111111 -> 40
Generación 6  
	0001011011110100011010001111000000000000 -> 39
