,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,51,43,54,51,52,38,56,39,41,52,49,60,56,42,62,38,57,44,36,41,62
1,7,28,43,66,58,61,71,64,44,59,53,52,56,51,55,51,50,37,45,37,36
2,0,13,25,36,56,71,62,90,92,81,61,69,55,44,55,44,48,43,35,17,27
3,2,4,11,28,31,70,83,103,91,98,79,88,62,62,40,33,33,36,31,14,25
4,0,6,9,35,43,72,83,75,75,104,101,85,55,59,43,48,37,28,23,16,27
5,1,6,10,23,48,63,71,86,113,100,81,80,72,56,40,39,36,34,26,23,16
6,1,4,13,30,61,81,78,64,91,94,70,68,74,55,48,46,39,38,28,26,15
7,1,5,14,35,58,75,64,70,85,89,94,69,72,60,45,39,49,43,27,19,11
8,1,6,16,45,66,60,59,72,61,88,107,80,69,51,64,49,40,28,19,25,18
9,0,8,22,40,66,62,55,69,60,83,100,86,85,66,43,41,40,36,31,17,14
10,0,15,31,53,52,51,64,63,62,106,71,75,72,50,47,62,42,41,29,22,16
11,6,14,40,44,50,54,50,56,72,78,96,69,64,74,55,56,45,49,30,18,4
12,4,15,28,53,51,48,52,47,58,90,98,89,90,77,59,41,39,29,25,17,14
13,5,15,39,43,44,39,54,57,63,77,115,100,84,61,54,43,45,31,25,22,8
14,4,19,30,39,53,47,56,51,75,95,108,72,60,67,55,53,46,37,33,18,6
15,2,13,34,38,50,53,54,58,51,71,107,112,84,67,65,57,40,31,18,14,5
16,8,11,37,47,43,48,37,49,62,71,101,115,98,78,68,48,40,30,18,9,6
17,2,19,43,51,48,44,29,31,51,80,109,116,89,85,91,44,40,22,13,10,7
18,3,24,50,58,42,40,31,36,51,72,95,97,112,89,66,44,36,34,22,12,10
19,3,14,34,51,39,42,29,45,71,95,125,119,93,65,48,47,35,21,15,17,16
20,3,21,52,53,54,34,39,28,54,88,96,80,93,91,68,56,37,27,24,18,8
21,4,18,59,36,50,43,30,57,53,80,95,96,90,78,61,49,37,40,25,13,10
22,7,29,32,52,37,42,28,54,52,85,100,110,96,84,65,38,35,34,17,12,15
23,6,26,48,47,36,37,29,38,70,80,112,95,93,83,56,58,37,28,17,20,8
24,6,34,39,40,52,43,31,50,47,61,112,101,86,84,78,50,35,22,26,15,12
25,12,24,44,59,38,43,26,45,47,69,100,84,111,82,71,50,40,36,25,12,6
26,4,33,56,46,54,28,22,47,51,76,100,87,79,87,72,60,44,32,27,10,9
27,10,27,41,47,40,32,42,45,55,67,97,93,111,98,61,46,46,31,15,16,4
28,8,24,52,54,41,37,29,28,45,66,109,94,119,92,73,42,52,30,18,9,2
29,7,27,52,51,42,36,34,41,40,68,101,101,93,92,65,62,52,25,16,13,6
30,10,21,51,62,40,34,44,34,35,62,94,91,100,108,82,53,39,30,16,9,9
31,9,36,61,63,34,25,22,24,39,59,91,114,111,100,68,67,37,28,24,4,8
32,8,36,56,46,37,25,23,35,37,72,88,125,119,102,66,59,41,22,14,6,7
33,15,39,50,50,34,19,34,32,45,61,97,111,104,108,70,59,30,28,15,11,12
34,9,43,56,52,32,23,22,40,32,57,118,106,111,85,75,66,40,16,16,18,7
35,14,44,52,40,24,18,27,33,51,62,112,121,131,81,85,40,29,21,13,14,12
36,6,34,52,51,37,26,31,31,43,76,101,115,114,94,73,45,25,25,14,19,12
37,10,32,50,51,31,17,19,34,50,87,131,108,115,84,64,49,31,21,14,15,11
38,11,33,52,36,36,27,15,34,48,81,137,119,112,82,73,35,25,14,31,17,6
39,10,23,56,56,43,33,28,36,39,67,99,108,106,92,64,49,42,32,14,20,7
40,12,36,69,49,30,31,16,44,50,77,81,93,97,81,74,58,46,30,19,17,14
41,13,32,58,52,32,31,35,31,43,60,85,113,119,86,76,48,32,33,19,16,10
42,10,27,55,49,47,23,30,37,44,52,98,135,121,81,65,46,39,14,20,18,13
43,15,42,41,62,41,34,20,24,42,60,94,113,107,86,83,43,44,22,21,16,14
44,16,40,48,58,48,18,15,32,49,61,81,112,139,77,68,39,39,28,30,15,11
45,8,38,58,65,39,33,22,28,37,64,95,96,98,87,80,59,32,28,29,18,10
46,18,43,68,54,37,16,33,15,40,55,82,116,101,104,60,55,36,30,29,20,12
47,7,48,64,58,48,22,19,31,31,65,81,104,101,84,71,51,60,25,21,16,17
48,16,43,77,61,33,24,16,26,33,53,81,85,107,98,82,66,36,35,22,19,11
49,8,49,67,66,35,25,15,23,41,52,81,100,102,92,85,69,46,23,8,19,18
